trial_id,timestamp,status,auc_roc,f1,mean_subj_auc,duration_sec,error,window_sec,notch_hz,step_sec,target_sfreq,interictal_ratio,batch_size,dropout
1,2026-06-17T18:01:49,ok,0.564,0.299,0.5122,1656.0,,2.0,50.0,1.0,0.0,5.0,128,0.25
2,2026-06-17T19:07:00,ok,0.564,0.3057,0.5335,2934.8,,2.0,50.0,0.75,0.0,5.0,128,0.25
3,2026-06-17T21:00:55,ok,0.5578,0.3028,0.5154,6834.9,,2.0,50.0,0.5,0.0,5.0,128,0.25
4,2026-06-17T21:16:16,ok,0.5528,0.2896,0.4991,920.0,,2.0,50.0,1.5,0.0,5.0,128,0.25
5,2026-06-17T22:53:22,failed,nan,nan,nan,770.4,"Command '['C:\\Users\\lucan\\AppData\\Local\\Programs\\Python\\Python314\\python.exe', 'F:\\Development\\capstone-project\\src\\seizure_prediction_eeg\\preprocess_eeg.py', '--window-sec', '2.0', '--step-sec', '0.25', '--interictal-ratio', '5.0', '--notch-hz', '50.0', '--out', 'F:\\Development\\capstone-project\\data\\processed\\eeg_windows.npz']' returned non-zero exit status 1.",2.0,50.0,0.25,0.0,5.0,128,0.25
6,2026-06-17T23:04:58,ok,0.5499,0.29,0.497,694.7,,2.0,50.0,2.0,0.0,5.0,128,0.25
7,2026-06-17T23:30:40,ok,0.5599,0.2979,0.5104,1542.0,,2.0,50.0,1.0,128,5.0,128,0.25
8,2026-06-17T23:56:39,ok,0.5617,0.2989,0.5142,1559.8,,2.0,50.0,1.0,256,5.0,128,0.25
9,2026-06-18T00:12:35,ok,0.5613,0.3973,0.5151,955.8,,2.0,50.0,1.0,0.0,3,128,0.25
10,2026-06-18T00:32:58,ok,0.5559,0.2444,0.5052,1223.1,,2.0,50.0,1.0,0.0,7,128,0.25
11,2026-06-18T00:44:59,ok,0.5567,0.48,0.4962,720.4,,2.0,50.0,1.0,0.0,2,128,0.25
12,2026-06-18T01:36:13,ok,0.5509,0.1968,0.5096,3074.4,,2.0,50.0,1.0,0.0,10,128,0.25
13,2026-06-18T04:04:03,ok,0.5515,0.1658,0.5138,8869.7,,2.0,50.0,1.0,0.0,15,128,0.25
14,2026-06-18T04:34:19,ok,0.5632,0.3035,0.5134,1815.3,,2.0,50.0,1.0,0.0,5.0,64,0.25
15,2026-06-18T05:02:40,ok,0.5583,0.2956,0.5198,1700.7,,2.0,50.0,1.0,0.0,5.0,32,0.25
16,2026-06-18T05:19:44,ok,0.5599,0.2996,0.5091,1024.3,,2.0,50.0,1.0,0.0,5.0,256,0.25
17,2026-06-18T05:34:03,ok,0.5541,0.2912,0.5153,859.5,,2.0,50.0,1.0,0.0,5.0,128,0.1
18,2026-06-18T05:54:40,ok,0.5618,0.3046,0.5128,1236.0,,2.0,50.0,1.0,0.0,5.0,128,0.4
19,2026-06-18T06:16:09,ok,0.5671,0.3037,0.5314,1289.9,,2.0,50.0,1.0,0.0,5.0,128,0.0
20,2026-06-18T06:42:02,ok,0.5614,0.2946,0.5121,1552.8,,2.0,50.0,1.0,0.0,5.0,128,0.5
21,2026-06-18T06:57:57,ok,0.5564,0.2927,0.5082,954.8,,2.0,50.0,0.75,0.0,5.0,128,0.0
22,2026-06-18T09:03:50,ok,0.5541,0.3023,0.5273,7552.9,,2.0,50.0,0.5,0.0,5.0,128,0.0
23,2026-06-18T09:19:43,ok,0.5524,0.3015,0.5138,951.6,,2.0,50.0,1.5,0.0,5.0,128,0.0
24,2026-06-18T09:55:38,failed,nan,nan,nan,2155.1,"Command '['C:\\Users\\lucan\\AppData\\Local\\Programs\\Python\\Python314\\python.exe', 'F:\\Development\\capstone-project\\src\\seizure_prediction_eeg\\preprocess_eeg.py', '--window-sec', '2.0', '--step-sec', '0.25', '--interictal-ratio', '5.0', '--notch-hz', '50.0', '--out', 'F:\\Development\\capstone-project\\data\\processed\\eeg_windows.npz']' returned non-zero exit status 1.",2.0,50.0,0.25,0.0,5.0,128,0.0
25,2026-06-18T10:06:40,ok,0.5517,0.2963,0.5004,657.2,,2.0,50.0,2.0,0.0,5.0,128,0.0
26,2026-06-18T10:32:20,ok,0.5608,0.2905,0.5247,1539.9,,2.0,50.0,1.0,128,5.0,128,0.0
27,2026-06-18T10:48:38,ok,0.5514,0.2958,0.5052,977.4,,2.0,50.0,1.0,256,5.0,128,0.0
28,2026-06-18T10:58:39,ok,0.5531,0.3905,0.4989,601.5,,2.0,50.0,1.0,0.0,3,128,0.0
